iter	Passed	Remaining
0	56	28216
1	61	15371
2	66	11071
3	70	8710
4	75	7447
5	80	6595
6	85	5992
7	89	5525
8	93	5105
9	96	4712
10	100	4476
11	103	4217
12	109	4107
13	114	3958
14	118	3840
15	120	3655
16	125	3569
17	128	3444
18	133	3376
19	137	3309
20	142	3250
21	146	3190
22	151	3147
23	156	3100
24	161	3060
25	163	2972
26	166	2912
27	170	2877
28	175	2851
29	180	2820
30	182	2753
31	185	2710
32	190	2688
33	193	2649
34	197	2627
35	202	2610
36	207	2593
37	210	2558
38	213	2520
39	217	2502
40	222	2488
41	226	2474
42	231	2459
43	234	2426
44	241	2439
45	247	2443
46	249	2405
47	252	2378
48	259	2391
49	263	2374
50	267	2351
51	271	2340
52	275	2322
53	278	2298
54	282	2284
55	286	2274
56	290	2258
57	294	2246
58	299	2238
59	302	2217
60	305	2200
61	310	2195
62	314	2184
63	316	2158
64	321	2152
65	326	2145
66	330	2138
67	333	2118
68	338	2117
69	341	2098
70	346	2093
71	350	2086
72	355	2080
73	360	2072
74	364	2064
75	369	2058
76	373	2053
77	378	2048
78	383	2041
79	387	2034
80	391	2027
81	394	2013
82	399	2006
83	403	1998
84	408	1993
85	410	1975
86	415	1971
87	419	1964
88	424	1958
89	428	1953
90	433	1946
91	437	1941
92	442	1938
93	447	1930
94	451	1925
95	456	1920
96	466	1939
97	472	1936
98	476	1931
99	481	1926
100	486	1922
101	490	1915
102	495	1908
103	500	1903
104	504	1898
105	509	1894
106	513	1887
107	518	1882
108	523	1879
109	528	1874
110	533	1869
111	538	1864
112	542	1856
113	547	1852
114	552	1848
115	556	1843
116	561	1838
117	566	1833
118	570	1827
119	575	1822
120	580	1818
121	585	1813
122	589	1807
123	594	1803
124	599	1798
125	604	1793
126	609	1789
127	613	1784
128	618	1778
129	622	1772
130	626	1765
131	631	1760
132	636	1755
133	640	1750
134	645	1745
135	650	1741
136	655	1738
137	660	1732
138	665	1728
139	670	1723
140	674	1717
141	679	1712
142	683	1706
143	690	1707
144	695	1703
145	700	1699
146	705	1694
147	709	1687
148	714	1683
149	719	1678
150	723	1673
151	728	1667
152	733	1663
153	738	1658
154	743	1654
155	748	1649
156	753	1645
157	758	1640
158	762	1634
159	767	1630
160	771	1625
161	776	1620
162	781	1616
163	786	1611
164	790	1605
165	795	1601
166	800	1596
167	805	1592
168	810	1587
169	815	1583
170	820	1578
171	825	1573
172	830	1569
173	835	1564
174	840	1560
175	844	1554
176	849	1550
177	853	1543
178	857	1538
179	862	1533
180	867	1529
181	872	1525
182	877	1520
183	882	1515
184	887	1511
185	892	1506
186	896	1501
187	901	1496
188	906	1491
189	910	1485
190	915	1481
191	920	1476
192	925	1472
193	930	1467
194	935	1462
195	939	1457
196	944	1452
197	949	1447
198	953	1442
199	958	1437
200	963	1432
201	967	1427
202	972	1422
203	977	1418
204	982	1413
205	987	1409
206	992	1404
207	996	1398
208	1001	1394
209	1005	1388
210	1009	1382
211	1013	1377
212	1018	1372
213	1023	1367
214	1028	1362
215	1033	1358
216	1037	1353
217	1043	1349
218	1047	1344
219	1052	1339
220	1057	1335
221	1062	1330
222	1067	1326
223	1071	1320
224	1076	1316
225	1081	1311
226	1085	1305
227	1090	1300
228	1094	1295
229	1099	1290
230	1104	1285
231	1108	1280
232	1113	1276
233	1118	1271
234	1123	1266
235	1128	1262
236	1133	1257
237	1138	1252
238	1142	1248
239	1148	1243
240	1152	1239
241	1157	1234
242	1165	1232
243	1170	1227
244	1174	1222
245	1179	1218
246	1184	1213
247	1189	1208
248	1194	1203
249	1199	1199
250	1203	1194
251	1208	1189
252	1213	1184
253	1218	1180
254	1223	1175
255	1228	1170
256	1233	1165
257	1237	1160
258	1242	1155
259	1246	1150
260	1251	1145
261	1255	1140
262	1260	1135
263	1265	1130
264	1269	1125
265	1274	1120
266	1279	1116
267	1284	1111
268	1288	1106
269	1293	1102
270	1298	1097
271	1303	1092
272	1308	1087
273	1312	1082
274	1317	1077
275	1322	1073
276	1327	1068
277	1332	1063
278	1336	1058
279	1341	1053
280	1346	1049
281	1351	1044
282	1355	1039
283	1360	1034
284	1365	1029
285	1369	1025
286	1374	1020
287	1379	1015
288	1384	1010
289	1388	1005
290	1393	1000
291	1398	996
292	1403	991
293	1408	986
294	1413	981
295	1417	977
296	1422	972
297	1427	967
298	1432	962
299	1437	958
300	1441	953
301	1446	948
302	1450	943
303	1461	942
304	1466	937
305	1470	932
306	1475	927
307	1480	922
308	1485	918
309	1490	913
310	1495	908
311	1500	903
312	1504	898
313	1509	893
314	1513	889
315	1518	884
316	1523	879
317	1527	874
318	1531	869
319	1536	864
320	1541	859
321	1545	854
322	1549	849
323	1555	844
324	1559	839
325	1565	835
326	1569	830
327	1574	825
328	1579	820
329	1583	815
330	1588	810
331	1592	805
332	1597	801
333	1601	796
334	1606	791
335	1611	786
336	1616	781
337	1621	777
338	1626	772
339	1631	767
340	1636	762
341	1643	759
342	1648	754
343	1653	749
344	1658	745
345	1663	740
346	1667	735
347	1672	730
348	1677	725
349	1682	720
350	1686	715
351	1691	711
352	1695	706
353	1700	701
354	1705	696
355	1710	691
356	1715	686
357	1719	682
358	1724	677
359	1729	672
360	1734	667
361	1738	662
362	1743	658
363	1748	653
364	1752	648
365	1757	643
366	1762	638
367	1767	633
368	1772	629
369	1776	624
370	1781	619
371	1786	614
372	1791	609
373	1795	604
374	1800	600
375	1805	595
376	1810	590
377	1814	585
378	1819	580
379	1824	576
380	1828	571
381	1833	566
382	1838	561
383	1843	556
384	1848	552
385	1853	547
386	1858	542
387	1863	537
388	1868	533
389	1872	528
390	1877	523
391	1882	518
392	1886	513
393	1892	509
394	1897	504
395	1901	499
396	1906	494
397	1911	489
398	1916	485
399	1921	480
400	1925	475
401	1930	470
402	1935	465
403	1940	461
404	1945	456
405	1950	451
406	1954	446
407	1958	441
408	1964	436
409	1969	432
410	1974	427
411	1978	422
412	1983	417
413	1988	413
414	1992	408
415	1997	403
416	2001	398
417	2006	393
418	2011	388
419	2016	384
420	2020	379
421	2025	374
422	2030	369
423	2035	364
424	2039	359
425	2044	355
426	2049	350
427	2054	345
428	2058	340
429	2063	335
430	2068	331
431	2073	326
432	2078	321
433	2083	316
434	2088	312
435	2093	307
436	2098	302
437	2103	297
438	2108	292
439	2112	288
440	2116	283
441	2121	278
442	2128	273
443	2133	269
444	2138	264
445	2143	259
446	2148	254
447	2152	249
448	2157	245
449	2163	240
450	2167	235
451	2172	230
452	2176	225
453	2181	221
454	2186	216
455	2191	211
456	2196	206
457	2200	201
458	2205	196
459	2210	192
460	2215	187
461	2220	182
462	2225	177
463	2230	173
464	2235	168
465	2240	163
466	2244	158
467	2249	153
468	2254	149
469	2259	144
470	2263	139
471	2268	134
472	2273	129
473	2278	124
474	2283	120
475	2288	115
476	2292	110
477	2297	105
478	2302	100
479	2307	96
480	2311	91
481	2316	86
482	2321	81
483	2326	76
484	2331	72
485	2336	67
486	2341	62
487	2346	57
488	2351	52
489	2356	48
490	2361	43
491	2365	38
492	2370	33
493	2375	28
494	2380	24
495	2385	19
496	2390	14
497	2394	9
498	2398	4
499	2402	0
